literal_ea	name	text	ref	function	disasm
0x140a11140	TM__8dO79bDlK9csFzRs49cEE7wlw_221	'load(<U'	0x1402c963a	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_221
0x140a11140	TM__8dO79bDlK9csFzRs49cEE7wlw_221	'load(<U'	0x1402c9641	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A11148
0x140a11180	TM__8dO79bDlK9csFzRs49cEE7wlw_223	'>, #SIMULATION_STATE + '	0x1402c968c	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_223
0x140a11180	TM__8dO79bDlK9csFzRs49cEE7wlw_223	'>, #SIMULATION_STATE + '	0x1402c9693	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A11188
0x140a111d0	TM__8dO79bDlK9csFzRs49cEE7wlw_229	'load(<U'	0x1402c9c9b	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_229
0x140a111d0	TM__8dO79bDlK9csFzRs49cEE7wlw_229	'load(<U'	0x1402c9ca2	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A111D8
0x140a111e0	TM__8dO79bDlK9csFzRs49cEE7wlw_230	'>, #SIMULATION_STATE + '	0x1402c9ced	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_230
0x140a111e0	TM__8dO79bDlK9csFzRs49cEE7wlw_230	'>, #SIMULATION_STATE + '	0x1402c9cf4	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A111E8
0x140a11210	TM__8dO79bDlK9csFzRs49cEE7wlw_234	'load(<U'	0x1402ca37d	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_234
0x140a11210	TM__8dO79bDlK9csFzRs49cEE7wlw_234	'load(<U'	0x1402ca384	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A11218
0x140a11220	TM__8dO79bDlK9csFzRs49cEE7wlw_235	'>, #SIMULATION_STATE + '	0x1402ca3cf	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_235
0x140a11220	TM__8dO79bDlK9csFzRs49cEE7wlw_235	'>, #SIMULATION_STATE + '	0x1402ca3d6	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A11228
0x140a11250	TM__8dO79bDlK9csFzRs49cEE7wlw_240	'load(<U'	0x1402cab51	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_240
0x140a11250	TM__8dO79bDlK9csFzRs49cEE7wlw_240	'load(<U'	0x1402cab58	0x1402c8e43 get_linked_index__modelZsimulationZpreorder_u28319	mov     rdx, cs:off_140A11258
0x140a112e0	TM__8dO79bDlK9csFzRs49cEE7wlw_251	'load(<U'	0x1402dd3f9	0x1402cb244 preorder__modelZsimulationZpreorder_u8738	mov     rax, cs:TM__8dO79bDlK9csFzRs49cEE7wlw_251
0x140a112e0	TM__8dO79bDlK9csFzRs49cEE7wlw_251	'load(<U'	0x1402dd400	0x1402cb244 preorder__modelZsimulationZpreorder_u8738	mov     rdx, cs:off_140A112E8
0x140a22400	TM__THWBxVSaWN2Zh7OMooFH0w_34	'\n\nconst #SIMULATION_STATE               = Ptr '	0x14048c833	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_34
0x140a22400	TM__THWBxVSaWN2Zh7OMooFH0w_34	'\n\nconst #SIMULATION_STATE               = Ptr '	0x14048c83a	0x14048b0bd generate_source	mov     rdx, cs:off_140A22408
0x140a22710	TM__THWBxVSaWN2Zh7OMooFH0w_50	']\n\ndef get_command(idx: CommandIndex) U64 {\n    return load(<U64>, .commands + (Int idx) * 8)\n}\n\ndef get_setting(idx: StateIndex) U64 {\n    return load(<U64>, .settings + (Int idx) * 8)\n}\n\ndef set_setting(idx: StateIndex, value: U64) {\n    store(.settings + (Int idx) * 8, value)\n}\n\n'	0x14048ca1f	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_50
0x140a22710	TM__THWBxVSaWN2Zh7OMooFH0w_50	']\n\ndef get_command(idx: CommandIndex) U64 {\n    return load(<U64>, .commands + (Int idx) * 8)\n}\n\ndef get_setting(idx: StateIndex) U64 {\n    return load(<U64>, .settings + (Int idx) * 8)\n}\n\ndef set_setting(idx: StateIndex, value: U64) {\n    store(.settings + (Int idx) * 8, value)\n}\n\n'	0x14048ca26	0x14048b0bd generate_source	mov     rdx, cs:off_140A22718
0x140a22950	TM__THWBxVSaWN2Zh7OMooFH0w_62	'const #DATA_'	0x14048db70	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_62
0x140a22950	TM__THWBxVSaWN2Zh7OMooFH0w_62	'const #DATA_'	0x14048db77	0x14048b0bd generate_source	mov     rdx, cs:off_140A22958
0x140a22d90	TM__THWBxVSaWN2Zh7OMooFH0w_92	'\ndef set_text(text: String, offset: Int) {\n    let length = text.len()\n    store(.ui_buffer + offset, length)\n    var i = 0\n    while i < length {\n        store(.ui_buffer + offset + 8 + i, U8 text[i])\n        i += 1\n    }\n}\n\ntype ComponentType Enum['	0x14048f0a0	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_92
0x140a22d90	TM__THWBxVSaWN2Zh7OMooFH0w_92	'\ndef set_text(text: String, offset: Int) {\n    let length = text.len()\n    store(.ui_buffer + offset, length)\n    var i = 0\n    while i < length {\n        store(.ui_buffer + offset + 8 + i, U8 text[i])\n        i += 1\n    }\n}\n\ntype ComponentType Enum['	0x14048f0a7	0x14048b0bd generate_source	mov     rdx, cs:off_140A22D98
0x140a233a0	TM__THWBxVSaWN2Zh7OMooFH0w_122	'" { store(.ui_buffer + '	0x14048fcda	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_122
0x140a233a0	TM__THWBxVSaWN2Zh7OMooFH0w_122	'" { store(.ui_buffer + '	0x14048fce1	0x14048b0bd generate_source	mov     rdx, cs:off_140A233A8
0x140a234b0	TM__THWBxVSaWN2Zh7OMooFH0w_131	'" { store(.ui_buffer + '	0x14049047a	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_131
0x140a234b0	TM__THWBxVSaWN2Zh7OMooFH0w_131	'" { store(.ui_buffer + '	0x140490481	0x14048b0bd generate_source	mov     rdx, cs:off_140A234B8
0x140a235f0	TM__THWBxVSaWN2Zh7OMooFH0w_144	']" { store(.ui_buffer + '	0x140490fbd	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_144
0x140a235f0	TM__THWBxVSaWN2Zh7OMooFH0w_144	']" { store(.ui_buffer + '	0x140490fc4	0x14048b0bd generate_source	mov     rdx, cs:off_140A235F8
0x140a23640	TM__THWBxVSaWN2Zh7OMooFH0w_149	'" { store(.ui_buffer + '	0x140491493	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_149
0x140a23640	TM__THWBxVSaWN2Zh7OMooFH0w_149	'" { store(.ui_buffer + '	0x14049149a	0x14048b0bd generate_source	mov     rdx, cs:off_140A23648
0x140a23750	TM__THWBxVSaWN2Zh7OMooFH0w_161	'" { store(.ui_buffer + '	0x140491f19	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_161
0x140a23750	TM__THWBxVSaWN2Zh7OMooFH0w_161	'" { store(.ui_buffer + '	0x140491f20	0x14048b0bd generate_source	mov     rdx, cs:off_140A23758
0x140a23810	TM__THWBxVSaWN2Zh7OMooFH0w_168	'" { store(.ui_buffer + '	0x140492603	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_168
0x140a23810	TM__THWBxVSaWN2Zh7OMooFH0w_168	'" { store(.ui_buffer + '	0x14049260a	0x14048b0bd generate_source	mov     rdx, cs:off_140A23818
0x140a238d0	TM__THWBxVSaWN2Zh7OMooFH0w_176	'" { store(.ui_buffer + '	0x140492da5	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_176
0x140a238d0	TM__THWBxVSaWN2Zh7OMooFH0w_176	'" { store(.ui_buffer + '	0x140492dac	0x14048b0bd generate_source	mov     rdx, cs:off_140A238D8
0x140a239b0	TM__THWBxVSaWN2Zh7OMooFH0w_186	'" { store(.ui_buffer + '	0x1404936cd	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_186
0x140a239b0	TM__THWBxVSaWN2Zh7OMooFH0w_186	'" { store(.ui_buffer + '	0x1404936d4	0x14048b0bd generate_source	mov     rdx, cs:off_140A239B8
0x140a23a70	TM__THWBxVSaWN2Zh7OMooFH0w_194	'" { store(.ui_buffer + '	0x140493e70	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_194
0x140a23a70	TM__THWBxVSaWN2Zh7OMooFH0w_194	'" { store(.ui_buffer + '	0x140493e77	0x14048b0bd generate_source	mov     rdx, cs:off_140A23A78
0x140a23b50	TM__THWBxVSaWN2Zh7OMooFH0w_203	'" { store(.ui_buffer + '	0x1404946d5	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_203
0x140a23b50	TM__THWBxVSaWN2Zh7OMooFH0w_203	'" { store(.ui_buffer + '	0x1404946dc	0x14048b0bd generate_source	mov     rdx, cs:off_140A23B58
0x140a23c10	TM__THWBxVSaWN2Zh7OMooFH0w_210	'" { store(.ui_buffer + '	0x140494dbf	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_210
0x140a23c10	TM__THWBxVSaWN2Zh7OMooFH0w_210	'" { store(.ui_buffer + '	0x140494dc6	0x14048b0bd generate_source	mov     rdx, cs:off_140A23C18
0x140a23cd0	TM__THWBxVSaWN2Zh7OMooFH0w_217	'" { store(.ui_buffer + '	0x1404954a6	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_217
0x140a23cd0	TM__THWBxVSaWN2Zh7OMooFH0w_217	'" { store(.ui_buffer + '	0x1404954ad	0x14048b0bd generate_source	mov     rdx, cs:off_140A23CD8
0x140a23da0	TM__THWBxVSaWN2Zh7OMooFH0w_226	'" { store(.ui_buffer + '	0x140495d0e	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_226
0x140a23da0	TM__THWBxVSaWN2Zh7OMooFH0w_226	'" { store(.ui_buffer + '	0x140495d15	0x14048b0bd generate_source	mov     rdx, cs:off_140A23DA8
0x140a24110	TM__THWBxVSaWN2Zh7OMooFH0w_259	' {\n            store(.ui_buffer + '	0x140433983	0x1404337a5 add_ui_set_instruction__modelZsimulationZcode95gen_u6900	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_259
0x140a24110	TM__THWBxVSaWN2Zh7OMooFH0w_259	' {\n            store(.ui_buffer + '	0x14043398a	0x1404337a5 add_ui_set_instruction__modelZsimulationZcode95gen_u6900	mov     rdx, cs:off_140A24118
0x140a24150	TM__THWBxVSaWN2Zh7OMooFH0w_261	', code)\n            store(.ui_buffer + '	0x1404339db	0x1404337a5 add_ui_set_instruction__modelZsimulationZcode95gen_u6900	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_261
0x140a24150	TM__THWBxVSaWN2Zh7OMooFH0w_261	', code)\n            store(.ui_buffer + '	0x1404339e2	0x1404337a5 add_ui_set_instruction__modelZsimulationZcode95gen_u6900	mov     rdx, cs:off_140A24158
0x140a24390	TM__THWBxVSaWN2Zh7OMooFH0w_285	'def add_keyboard_value(key_down: Bool, key: U8) {\n    let value = U16 key_down | (U16 key) << 8\n    var index = load(<U16>, #SIMULATION_KEYBOARD_CHARACTER + 4098)\n    store(#SIMULATION_KEYBOARD_CHARACTER + index, value)\n    store(#SIMULATION_KEYBOARD_CHARACTER + 4098, (index + 8) % 4096)\n\n}\n'	0x140498798	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_285
0x140a24390	TM__THWBxVSaWN2Zh7OMooFH0w_285	'def add_keyboard_value(key_down: Bool, key: U8) {\n    let value = U16 key_down | (U16 key) << 8\n    var index = load(<U16>, #SIMULATION_KEYBOARD_CHARACTER + 4098)\n    store(#SIMULATION_KEYBOARD_CHARACTER + index, value)\n    store(#SIMULATION_KEYBOARD_CHARACTER + 4098, (index + 8) % 4096)\n\n}\n'	0x14049879f	0x14048b0bd generate_source	mov     rdx, cs:off_140A24398
0x140a245a0	TM__THWBxVSaWN2Zh7OMooFH0w_304	'Int (U64 load(<U'	0x1404993e4	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_304
0x140a245a0	TM__THWBxVSaWN2Zh7OMooFH0w_304	'Int (U64 load(<U'	0x1404993eb	0x14048b0bd generate_source	mov     rdx, cs:off_140A245A8
0x140a245e0	TM__THWBxVSaWN2Zh7OMooFH0w_306	'>, #SIMULATION_STATE + '	0x140499436	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_306
0x140a245e0	TM__THWBxVSaWN2Zh7OMooFH0w_306	'>, #SIMULATION_STATE + '	0x14049943d	0x14048b0bd generate_source	mov     rdx, cs:off_140A245E8
0x140a24750	TM__THWBxVSaWN2Zh7OMooFH0w_328	'load(<U'	0x1404349f5	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_328
0x140a24750	TM__THWBxVSaWN2Zh7OMooFH0w_328	'load(<U'	0x1404349fc	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rdx, cs:off_140A24758
