suffix	address	qword	static_length	bytes
4	0x140a21f00	4611686018427387905	1	/
5	0x140a21f10	1	0	
6	0x140a21f20	4611686018427387913	9	LOADING: 
7	0x140a21f40	9	0	
8	0x140a21f60	4611686018427387955	51	Exiting because test file doesn't exist for level: 
9	0x140a21fa0	51	0	
10	0x140a21fc0	4611686018427388021	117	      def arch_get_input() Int {}\n      def check_output(tick: Int, inputs: [Int], outputs: [Int]) TestResult {}\n    
11	0x140a22040	117	0	
12	0x140a22060	4611686018427388026	122	      def get_input(tick: Int) Input {}\n      def check_output(tick: Int, input: Input, output: Output) TestResult {}\n    
13	0x140a220f0	122	0	
14	0x140a22100	4611686018427387905	1	\n
15	0x140a22110	1	0	
19	0x140a22120	4611686018427387949	45	\nvar commands                          = Ptr 
20	0x140a22160	45	0	
21	0x140a22180	4611686018427387949	45	\nvar settings                          = Ptr 
22	0x140a221c0	45	0	
23	0x140a221e0	4611686018427387951	47	\nvar input_replay                      = [U64] 
24	0x140a22220	47	0	
25	0x140a22240	4611686018427387949	45	\nvar output_history_pins               = Ptr 
26	0x140a22280	45	0	
27	0x140a222a0	4611686018427387949	45	\nvar error_buffer                      = Ptr 
28	0x140a222e0	45	0	
29	0x140a22300	4611686018427387949	45	\nvar ui_buffer                         = Ptr 
30	0x140a22340	45	0	
31	0x140a22360	4611686018427387951	47	\nvar ctl_input_replay_reset            = [U64] 
32	0x140a223a0	47	0	
33	0x140a223c0	4611686018427387950	46	\n\nconst #SIMULATION_STATE               = Ptr 
34	0x140a22400	46	0	
35	0x140a22420	4611686018427387949	45	\nconst #SIMULATION_KEYBOARD_CHARACTER  = Ptr 
36	0x140a22460	45	0	
37	0x140a22480	4611686018427387949	45	\nconst #SIMULATION_KEYBOARD_COORDINATE = Ptr 
38	0x140a224c0	45	0	
39	0x140a224e0	4611686018427387928	24	\n\n\ntype SimCommand Enum[
40	0x140a22510	24	0	
41	0x140a22520	4611686018427387906	2	, 
42	0x140a22530	2	0	
43	0x140a22540	4611686018427387929	25	]\ntype CommandIndex Enum[
44	0x140a22570	25	0	
45	0x140a22580	2	0	
46	0x140a225a0	4611686018427387927	23	]\ntype StateIndex Enum[
47	0x140a225c0	23	0	
48	0x140a225d0	2	0	
49	0x140a225e0	4611686018427388187	283	]\n\ndef get_command(idx: CommandIndex) U64 {\n    return load(<U64>, .commands + (Int idx) * 8)\n}\n\ndef get_setting(idx: StateIndex) U64 {\n    return load(<U64>, .settings + (Int idx) * 8)\n}\n\ndef set_setting(idx: StateIndex, value: U64) {\n    store(.settings + (Int idx) * 8, value)\n}\n\n
50	0x140a22710	283	0	
52	0x140a22720	4611686018427388052	148	C:\\Users\\Admin\\.choosenim\\toolchains\\nim-2.2.6\\lib\\system\\iterators.nim(187, 11) `len(a) == L` the length of the seq changed while iterating over it
53	0x140a227c0	148	0	
54	0x140a227e0	4611686018427388052	148	C:\\Users\\Admin\\.choosenim\\toolchains\\nim-2.2.6\\lib\\system\\iterators.nim(254, 11) `len(a) == L` the length of the seq changed while iterating over it
55	0x140a22880	148	0	
56	0x140a228a0	4611686018427387965	61	Error, the same memory component permanent_id was seen twice 
57	0x140a228f0	61	0	
58	0x140a22900	4611686018427387905	1	 
59	0x140a22910	1	0	
60	0x140a22920	1	0	
61	0x140a22930	4611686018427387916	12	const #DATA_
62	0x140a22950	12	0	
63	0x140a22960	4611686018427387917	13	       = Ptr 
64	0x140a22980	13	0	
65	0x140a229a0	4611686018427387924	20	 // """ & $(c_alloc(
66	0x140a229c0	20	0	
67	0x140a229e0	4611686018427387927	23	) + 2048) & "\\n" & """\n
68	0x140a22a00	23	0	
69	0x140a22a20	4611686018427387922	18	const #RESET_DATA_
70	0x140a22a40	18	0	
71	0x140a22a50	4611686018427387911	7	 = Ptr 
72	0x140a22a60	7	0	
73	0x140a22a70	20	0	
74	0x140a22a80	23	0	
75	0x140a22aa0	4611686018427387920	16	const #SETTINGS_
76	0x140a22ac0	16	0	
77	0x140a22ad0	4611686018427387913	9	   = Ptr 
78	0x140a22af0	9	0	
